,id,url,source_name,source_url,title,subtitle,author_name,publish_date,content,top_image_url,top_image_caption,created_at,tags,categories
26,3827,https://timesofmalta.com/article/police-issue-400-traffic-charges-fines-christmas-period.1103157,Times of Malta,https://timesofmalta.com,Police issue 400 traffic charges and fines over Christmas period,"Amid a lack of serious traffic accidents, 4,700 inspections were carried out",Times of Malta,01/01/2025,"Police presence on Malta's roads saw officers issuing over 400 traffic charges and fines during the Christmas period, the Malta Police Force said on Wednesday.  In the ten days between December 22 and 31, police officers carried out 170 road checks, stopping 4,700 vehicles and issuing more than 400 fines.  Over 85 speeding tickets were issued thanks to gun inspections while 11 drivers tested positive during a breathalyser test.  Several vehicles were also towed due to having invalid or expired road licenses.  Police doing their rounds also distributed educational material on parked cars to discourage drunk driving.  Other infringements included drivers caught without a valid license, using mobile phones while driving and drivers not wearing seat belts.  ""These road inspections were coordinated by the Police Corps, with the assistance of officers from Transport Malta. This exercise of road inspections will not stop at the end of the New Year celebrations but will continue throughout the year to ensure safer roads in Malta and Gozo,"" a police spokesperson said.  ""The Police Corps thanks everyone for their cooperation, which has allowed us to have safe roads with no serious accidents during these festive days.""",https://cdn-attachments.timesofmalta.com/61f2fa55605b836aa7bcb5eb8da0dcc49ddcb06c-1735729782-79cf0633-1920x1280.jpg,Police carrying out inspections. Photo: Malta Police Corps Communications Office,2025-07-03 15:12:43.810568+00,"{Community,National,Police,Traffic}",{}
27,3823,https://timesofmalta.com/article/road-safety-bureau-year-late-no-clear-way-ahead.1103143,Times of Malta,https://timesofmalta.com,"Road safety bureau is a year late, with no clear way ahead",Bureau given budget but nobody knows who is in charge,Matthew Bonanno,01/01/2025,"The transport ministry has declined to give a deadline by when the promised Transport Safety Investigative Commission will be set up. According to a government document released in April 2023, the bureau should have been up and running by the end of that year and was intended to help identify any shortcomings, issues and patterns to amend road safety policy. Currently, magisterial inquiries and police investigations are the only methods of investigating road accidents in Malta. Their conclusions generally remain confidential. A year after the target launch date, the bureau is still nowhere to be seen and it is unclear whether it is currently staffed. According to budget figures, the bureau spent around €15,000 in 2023, was allocated €120,000 in 2024 and will be given another €120,000 this year.  The delay has been condemned by victims' families, insurers and doctors' associations who said it is symptomatic of road safety not being given priority. The end of 2024 was marked by a series of serious traffic accidents. Dieter Vink, 54, was killed when his motorbike crashed into an unpermitted skip on the St Paul's Bay bypass. Two days later, a 17-year-old girl was critically injured after being hit by a Jeep in Mellieha, while a 29-year-old man sustained critical injuries after being hit by a car while replacing a flat tyre. On December 22, two motorcyclists were injured - one of them seriously - in a traffic accident on Triq is-Salini, which involved three motorbikes and a car.",https://cdn-attachments.timesofmalta.com/5803a9d3c399922866cc5a9300f567967b6b6e84-1735657964-88e3ceb5-1920x1280.jpeg,"Dieter Vink, 54, was killed last month when the motorbike he was riding crashed into an unpermitted skip on the St Paul’s Bay bypass.",2025-07-03 15:12:42.70547+00,"{Accident,National,Roads}",{}
28,3809,https://timesofmalta.com/article/speeding-driver-caught-150-kmh-60-kmh-zone.1103224,Times of Malta,https://timesofmalta.com,Speeding driver caught doing 150 km,Officers issued over 400 traffic charges and fines during the festive period,Marc Galdes,03/01/2025,"A driver has been caught speeding at 150 kilometres per hour in a 60 kilometres per hour zone in Mellieha. The home affairs ministry said the speeding car was clocked on Triq il-Marfa - the main road that leads to Cirkewwa - by police using speed guns. It happened last month, shortly before Christmas. Driving 15 km/h over the speed limit incurs a penalty of €100 and four penalty points on the offender's licence. Police said that ""appropriate legal action"" was taken.  Police presence on Malta's roads saw officers issuing over 400 traffic charges and fines during the festive period. In the 10 days between December 22 and 31, police officers carried out 170 road checks, stopping 4,700 vehicles and issuing more than 400 fines.  Over 85 speeding tickets were issued thanks to gun inspections, while 11 drivers tested positive during a breathalyser test.  There were several serious traffic accidents in December, including two fatal accidents. Motorcyclist Dieter Vink was killed when his bike collided with a skip parked in the road on St Paul's Bay bypass on December 11. On Christmas Eve, bus driver Hussein Shah died from the injuries he sustained days earlier in a traffic collision with a van on the Regional Road.",https://cdn-attachments.timesofmalta.com/eb5e9985ed9c1ff62d656bc17cee29075cf4843c-1735836050-60b9ff37-1920x1280.jpg,Police carrying out inspections. Photo: Malta Police Corps Communications Office,2025-07-03 15:12:39.192679+00,"{Ċirkewwa,Community,National,Police,Traffic}",{}
35,3699,https://timesofmalta.com/article/today-front-pages-january-8-2025.1103404,Times of Malta,https://timesofmalta.com,"Today's front pages - January 8, 2025",The top stories in Malta's newspapers,Times of Malta,08/01/2025,"The following are the top stories in Malta's newspapers on Wednesday. All newspapers lead with news that Alejandro Brincat, 25, died when the car he was driving jumped a crash barrier in Attard and smashed into a tree and a signpost late on Monday. Times of Malta also reports on its front page that environmental activists and the Opposition expressed their shock at former Planning Authority CEO Johann Buttigieg's reappointment. The Malta Independent meanwhile reports that Buttigieg officially found out about his appointment as PA CEO through the media.  MaltaToday leads with data showing that applications for planning permits increased by 12% for 2024. In-Nazzjon publishes comments by PN leader Bernard Grech who insisted that the Attorney General should publish the 17 Black inquiry.  L-orizzont focuses on the government's presentation of the island's plan for energy and climate to the European Commission.",https://cdn-attachments.timesofmalta.com/46443f9f0a372d046e1cfdf631042589d0d27043-1736320971-9d1300bd-1920x1280.jpg,File photo: Times of Malta,2025-07-03 15:12:10.927905+00,"{""17 Black"",Accident,Attard,Energy,National,""Planning Authority"",Pn}",{}
41,3604,https://timesofmalta.com/article/road-safety-strategy-misses-target.1103676,Times of Malta,https://timesofmalta.com,Road safety strategy misses target to cut fatalities and serious injuries,The 2014 strategy aimed to cut road fatalities by 50% and grievous injuries by 30%,Neville Borg,15/01/2025,"A road safety strategy launched a decade ago has failed to hit several of its targets, according to an analysis carried out by Times of Malta, as two road deaths in the early weeks of 2025 thrust road safety concerns back into the spotlight. On Monday 6 January, 25-year-old Alejandro Brincat was killed after he lost control of his car in Attard.   On the same day, a 24-year-old Nepalese woman, Gauri Kumari Baral, was hit by a pickup truck in Fgura. She died just a few days later. A decade after a landmark road safety strategy pledged to cut road fatalities by half, Times of Malta examines whether the strategy was a success. What did the strategy promise? Published in 2014, the road safety strategy set an ambitious target of reducing road fatalities by 50%, grievous traffic-related injuries by 30%, and slight injuries by a fifth. Authorities at the time argued that while Maltese roads were already safe compared to most other European countries, things could and should get better, with Malta still struggling to tackle issues like speeding and drunk driving. The strategy promised to improve road safety through a series of ""strategic actions"" aimed at addressing shortcomings in everything from enforcement to road engineering and education.  On the other hand, the number of slight injuries on the road does seem to be on the wane. While almost 1,500 people reported a slight injury after a traffic incident a decade ago, this is now down to a little over 1,100, a 23% drop, in line with the strategy's plans. More cars and more accidents With the sheer number of cars on Malta's roads ballooning by the day (33 new cars each day, at last count), it's no surprise to see that the total number of accidents is on the rise. There were some 16,500 traffic accidents reported in 2023, more than at any point over the previous two decades. But while there are far more cars on Malta's roads today, the accident rate is a little lower than it once was. Back in 2014, there were 43 accidents for every 1,000 cars on the road. Today this is down to roughly 37. And fewer of these accidents result in injury these days, Of these 16,500 accidents in 2023, just one in ten resulted in an injury, fewer than in most previous years. The figures for the first nine months of 2024 are even lower, dropping to 9%. The last time the figure was this low was back in 2011, hovering around 12% for much of the past decade. Questions sent to the transport ministry and Transport Malta remain unanswered at the time of publication",https://cdn-attachments.timesofmalta.com/6f10a98d225699ec1dfa58785fa59ae8b85e5f08-1736864672-5df2de43-1920x1280.jpg,Then transport minister Joe Mizzi launching the strategy in 2014. File photo: Matthew Mirabelli,2025-07-03 15:11:46.166228+00,"{National,Roads,Traffic,Transport}",{}
102,2092,https://timesofmalta.com/article/architects-urge-10year-inspections-two-balconies-collapse-week.1107450,Times of Malta,https://timesofmalta.com,Architects urge 10-year inspections after two balconies collapse in a week,BCA confirms construction site was not to blame for Qawra collapse,Matthew Bonanno,01/04/2025,"The Kamra tal-Periti has renewed its call for buildings to be inspected for structural issues every 10 years after two separate balconies collapsed last week. The first collapse happened in Qawra in the early hours of Monday morning, just two hours after the owner of a popular bar on Imrejkba Street had called last orders and closed for the night.  The balcony of the third-floor apartment fell onto the second-floor apartment's balcony, causing both to crash down onto the bar's terrace below. Two days later, a stone balcony in Zabbar collapsed onto the pavement below. No one was injured in either incident. The block where the Qawra collapse occurred is located next door to a construction site where 39 apartments and 33 garages are being developed. Following the collapse, the Building and Construction Authority (BCA) issued a stop works notice for the site. However, the notice was reversed soon after and works were allowed to continue. On Thursday, the BCA confirmed that after a professional assessment, it had deemed that work on the site was not responsible for the collapse of the balconies.  The architect said regular inspections were part of a wider overhaul of the regulatory processes and standards involved in the building and construction industry that the chamber had been working on. Point 10 of these proposals calls for ""post-occupancy checks and audits to be undertaken as pre-determined by the Building and Construction Authority to ensure the continued compliance of the structure with building regulations"". Such checks, Pizzuto said, could also include compliance with fire safety regulations, as well as the electrical wiring and lifts of a property. ""How often these checks occur, and whether they are also carried out on existing buildings is something the government would have to decide on. Ultimately, it has to weigh the cost of carrying out such inspections against the risk of further collapses,"" he said, adding that disused buildings and those located near the sea should be checked even more frequently.",https://cdn-attachments.timesofmalta.com/01a4361c1d9a9464ec6cfbff9a0bbf74c908b960-1743439651-32749ebd-1920x1280.jpg,"Debris in High Street, Sliema, after a balcony collapsed in 2021. Photo: Jonathan Borg",2025-07-03 15:05:18.679446+00,"{Accident,Architecture,Construction,National}",{}
105,2022,https://timesofmalta.com/article/pn-slams-lack-detail-trafficrelief-plans.1107597,Times of Malta,https://timesofmalta.com,PN slams lack of detail in traffic-relief plans,"Existing infrastructure for alternative transport is not good enough to convince people to ditch their cars, says shadow transport minister.",Matthew Bonanno,03/04/2025,"Updated 8.30pm with PL response The Nationalist Party has criticised the government for failing to divulge the exact goals of its proposed measures to tackle Malta's traffic woes.  Last week, Transport Minister Chris Bonnet unveiled a series of incentives designed to reduce the number of cars on the country's roads.   These include an offer of €25,000 to drivers willing to give up their car and licence for five years, a proposal to pay 17-year-olds €1,500 a year for four years to ride scooters instead of driving cars, as well as shifting road services such as rubbish collection to off-peak hours.   At a press conference in Msida on Thursday afternoon, shadow minister for transport Mark Anthony Sammut said the least he expected from the government was for it to share its targets.  ""For example, how many cars it wants to be removed from the roads, how many youths will put off getting a licence, or how many people will swap their cars for bikes,"" Sammut said.  Experts who spoke to Times of Malta said the cash incentive of €25,000 would only result in a maximum of 2,500 fewer drivers - or less than one per cent of all drivers in the country - on the road this year.   Sammut said the government was approaching the problem from the wrong direction.  ""Before trying to get people to give up their cars, the government has to ensure there are alternative means of transport. We still don't have a plan for a mass-transit system. Before the election the government spent €2 million promoting a metro, and now says it isn't a priority,"" he said.  Turning to two-wheeled transport methods such as cycling, Sammut said that the necessary infrastructure had to be in place before commuters were encouraged to make the switch.  ""Instead, the transport minister says, 'We'll see depending on how many people take up the incentives',"" he said, adding that people's biggest worry was the lack of safety on the roads.  Sammut insisted that the Opposition agreed with several of the government's proposals because it had proposed them itself years ago, namely rubbish collection outside of peak hours, the plan to add a cargo-only shipping route between Malta and Gozo, as well as national strategies on walking and cycling.  ""On the other hand, we disagree with increasing Transport Malta's budget by an exorbitant amount. People are not being hired and promoted because they are competent and experienced, but because they are die-hard Labour supporters or people suggested by the minister or Castille,"" he said.   Sammut said that if the government wanted to tackle traffic, it needed to shift the country's economic model away from the importation of foreign labour.  Fellow PN MP David Agius said he was late to the start of the press conference because he himself got stuck in traffic following a collision in Marsa.  He called on the government to reverse its plan to increase the number of years after which a car is deemed to be classic from 30 to 35 years.  ""Not only will this increase the number of cars on the roads, since vintage cars can only be driven a maximum of 3,000 kilometres a year, but also because we believe this hobby should be supported,"" he said.  Consultation - PL In a statement issued Thursday evening, the Labour Party pointed out before the measures were launched consultation was held about the proposals with experts, social partners and the public.  The PL accused the PN of not wantintg transport to be addressed in Malta, adding that the opposition's mass transport option could take ""decades"" to implement. ""The current needs are of no interest for them,"" the Labour Party said.",https://cdn-attachments.timesofmalta.com/1f0dff275831534b5a03d60c09841b7a7da22aa3-1743686575-b247451c-1920x1280.jpg,PN's Mark Anthony Sammut said the government had failed to divulge the precise targets of its incentives. Photo: Partit Nazzjonalista,2025-07-03 15:04:59.468533+00,"{National,Pn,Traffic}",{}
124,1387,https://timesofmalta.com/article/traffic-accidents-decreased-road-fatalities-up-new-data-shows.1109313,Times of Malta,https://timesofmalta.com,"Traffic accidents have decreased, but road fatalities are up, new data shows",Three drivers and one pedestrian died,Times of Malta,07/05/2025,"There was a significant 9% drop in traffic accidents in the first quarter of this year compared to the same period last year, according to data issued on Wednesday by the National Statistics Office. Casualties were down by 11.9% but the number of fatalities, at four, was up by three over the same period in 2024. The NSO said there were 3,468 reported accidents in the first three months of this year. In contrast, there were 3,811 accidents in the first months of 2024, down by 0.3 per cent over the same period in 2023 according to an NSO press release issued in May last year. The Northern Harbour district registered the highest number of accidents in the opening months of this year, at 1,178, almost a third of all accidents. Road traffic casualties decreased by 11.9 per cent to 297 over the same period in 2024. Grievously injured persons amounted to 78, and consisted of 42 drivers, 13 passengers and 23 pedestrians/cyclists/others. The injuries suffered by three drivers and one pedestrian proved fatal. Three of the fatalities were men and one woman. The majority of those grievously injured were males (69.2 per cent). 33.7 per cent of the casualties involved persons in the 26 to 40 age bracket. The largest number of road traffic casualties (51.9 per cent) involved passenger cars, followed by motorcycles (31.6 per cent) and goods-carrying vehicles (8.1 per cent). The fatalities included three drivers crashing into a property and a pedestrian being hit by a vehicle. Cyclists involved in traffic accidents amounted to six, where three suffered grievous injuries and three suffered slight injuries. Road traffic casualties resulting from accidents between vehicles topped the list with 65.0 per cent of all road traffic casualties. The highest number of road traffic casualties occurred on Mondays with 59 casualties, and the highest number of road traffic accidents occurred on Fridays with 564 cases or 16.3 per cent of the total. The highest number of road traffic accidents occurred between 9am and noon. with 778 cases or 22.4 per cent of the total, followed by those occurring between 13-6pm, with 755 cases.",https://cdn-attachments.timesofmalta.com/826c3ec15308c808b05b8e648c1b05fb30657912-1746610069-f94e5992-1920x1280.jpg,A crash on the Birkirkara Bypass in early January. Police photo.,2025-07-03 15:02:09.231368+00,"{National,Traffic}",{}
126,1352,https://timesofmalta.com/article/motorcyclist-injured-pothole-incident-awarded-74000.1109423,Times of Malta,https://timesofmalta.com,"Motorcyclist injured in pothole incident awarded €74,000",The incident took place over five years ago in Siggiewi,Monique Agius,09/05/2025,"A 39-year-old Turkish national has been awarded over €74,000 in damages following an accident in Siggiewi which left him suffering from a permanent disability. The man was driving his Piaggio Vespa along Triq Ghar Lapsi on May 2, 2020, when he stumbled into a pothole, lost his balance and fell off the motorcycle. He was taken to Mater Dei Hospital where he was certified with grievous injuries. Following the incident, the man returned to Turkey since he needed treatment, and the coronavirus pandemic had hit. He also underwent several surgical interventions. As a result of the incident, he sustained permanent disability, which harmed his quality of life. The man eventually returned to Malta. Through his lawyers, he filed an application before the First Hall of the Civil Court, suing the Siggiewi Local Council and Infrastructure Malta. He requested the court to hold both responsible for the incident and order them to pay him damages. Both Infrastructure Malta and the Siggiewi local council argued that they were not suited, with the road agency arguing that the council was responsible for maintaining the road, while the local council argued that it was in the hands of the agency. In court, the man testified that as he was driving along Triq Ghar Lapsi, direction towards Dingli cliffs, a few meters after he turned the corner, the condition of the road changed dramatically. Who is responsible for the road? He described how the road level went down by a few metres before he drove into a pothole. Moreover, there were no signs that the road surface would deteriorate, and the man said he had no reason to believe that the road surface would change in such a manner. John Fenech from Elles Urban Services Ltd - a company engaged by the council to maintain the roads - acknowledged that the road was in a state of disrepair and it had to be resurfaced. He also testified that the damage to the road was primarily attributable to the frequent passage of heavy vehicles in the service of nearby quarries. He added that the road was not built to take the weight of the vehicles. A police constable similarly testified that the road was in a bad state, noting that there were several cracks in the asphalt and potholes. In establishing who was responsible for the road, the court heard architect David Vassallo from Infrastructure Malta. The witness said the road fell under the responsibility of the local council, however, the road agency intervened and issued an emergency allocation to contractor Philip Agius and Sons for €1.5 million, excluding VAT, in December 2020. The council's executive secretary, Ritianne Giorgino, told the court that while it was within the council's boundary, the local council is responsible for maintenance or patching works, while resurfacing falls under the responsibility of the local government. Referring to the mayor's affidavit, the court observed that while it was outlined that the council has several structures to monitor and ascertain that roads are kept in a good state of repair, this was not the case and notwithstanding the ""layers of surveillance adopted by the Council, somewhere down the line, somebody is not doing his job properly or else the technical operandi is not functioning."" The court reminded how the road is used by heavy vehicles and therefore, the road should have been monitored more closely and frequently. It also observed that it was only after the plaintiff was injured that the road was properly repaired. The court concluded that the council was wholly to blame for the accident.  When it came to calculating damages, it took into consideration that 21 months after the accident, the man's radial nerve did not make a full recovery, and this was most likely improbable. It also took into consideration the court-appointed expert's observations on the fracture of the distal tibia, which involved an articular surface of the ankle joint and will inevitably lead to arthritic change. The motorcyclist also ended up with substantial amounts of metal implants attached to the humerus and tibia. These foreign bodies provide a slightly increased risk of bone infection during bacetermia, according to the expert. After calculating the damages, the court declared the Siggiewi local council responsible for the incident and ordered it to pay the man €74,873. Mr Justice Toni Abela presided over the court. Lawyers Kris Busietta and Alessandro Farrugia assisted the plaintiff.",https://cdn-attachments.timesofmalta.com/f4236188329124bddbbad50e859307dd7dc161c1-1746769106-b6ac4f28-1920x1280.png,"The accident, which happened back in May 2020, happened in Triq Għar Lapsi in Siġġiewi. Photo: Google Maps",2025-07-03 15:02:00.214854+00,"{Accident,Court,National,Roads,Siġġiewi,Transport}",{}
